Title,Boxoffice,ReleaseYear,RTScore,AudienceScore
"The Unbearable Weight of Massive Talent",19490586,"2022-01-01 00:00:00",87,87
"Prisoners of the Ghostland",NULL,"2021-01-01 00:00:00",62,20
Pig,3138901,"2021-01-01 00:00:00",96,84
"Willy's Wonderland",388722,"2021-01-01 00:00:00",60,68
"The Croods: A New Age",58544525,"2020-01-01 00:00:00",77,94
"Jiu Jitsu",NULL,"2020-01-01 00:00:00",28,64
"Color Out of Space",677283,"2019-01-01 00:00:00",86,82
"Grand Isle",NULL,"2019-01-01 00:00:00",0,45
Primal,NULL,"2019-01-01 00:00:00",37,22
"Kill Chain",NULL,"2019-01-01 00:00:00",NULL,31
"Running With the Devil",NULL,"2019-01-01 00:00:00",24,36
"A Score to Settle",NULL,"2019-01-01 00:00:00",15,17
"Between Worlds",NULL,"2018-01-01 00:00:00",32,82
"Spider-Man: Into the Spider-Verse",190193195,"2018-01-01 00:00:00",97,93
"Becoming Iconic",NULL,"2018-01-01 00:00:00",NULL,99
Mandy,1233694,"2018-01-01 00:00:00",90,67
"Teen Titans GO! to the Movies",29553885,"2018-01-01 00:00:00",91,71
211,NULL,"2018-01-01 00:00:00",4,9
"Looking Glass",NULL,"2018-01-01 00:00:00",21,10
"Looking Glass",NULL,"2018-01-01 00:00:00",NULL,NULL
"The Humanity Bureau",NULL,"2017-01-01 00:00:00",25,22
"Mom and Dad",NULL,"2017-01-01 00:00:00",75,40
"Vengeance: A Love Story",4526,"2017-01-01 00:00:00",NULL,26
Inconceivable,NULL,"2017-01-01 00:00:00",31,60
Arsenal,NULL,"2017-01-01 00:00:00",3,17
"USS Indianapolis: Men of Courage",NULL,"2016-01-01 00:00:00",17,30
"Dog Eat Dog",NULL,"2016-01-01 00:00:00",49,19
"Army of One",NULL,"2016-01-01 00:00:00",25,26
Snowden,21562346,"2016-01-01 00:00:00",61,70
"The Trust",NULL,"2016-01-01 00:00:00",63,29
"Pay the Ghost",NULL,"2015-01-01 00:00:00",10,25
"The Runner",NULL,"2015-01-01 00:00:00",24,22
Outcast,NULL,"2014-01-01 00:00:00",4,22
"Dying of the Light",NULL,"2014-01-01 00:00:00",11,15
"Left Behind",13998282,"2014-01-01 00:00:00",0,4
Tokarev,NULL,"2014-01-01 00:00:00",12,28
Joe,371897,"2013-01-01 00:00:00",86,68
"The Frozen Ground",NULL,"2013-01-01 00:00:00",61,50
"The Croods",187165546,"2013-01-01 00:00:00",72,77
"Can't Stand Losing You: Surviving the Police",23193,"2012-01-01 00:00:00",39,67
Stolen,289773,"2012-01-01 00:00:00",20,34
"A Thousand Words",18438149,"2012-01-01 00:00:00",0,47
Justice,NULL,"2011-01-01 00:00:00",28,39
"Ghost Rider: Spirit of Vengeance",51774002,"2011-01-01 00:00:00",18,31
Trespass,16816,"2011-01-01 00:00:00",11,22
"Drive Angry",10706786,"2011-01-01 00:00:00",48,37
"Season of the Witch",24823283,"2011-01-01 00:00:00",11,30
"The Sorcerer's Apprentice",63143812,"2010-01-01 00:00:00",40,53
Kick-Ass,48043505,"2010-01-01 00:00:00",76,81
"Bad Lieutenant: Port of Call New Orleans",1697956,"2009-01-01 00:00:00",86,57
"Astro Boy",19548064,"2009-01-01 00:00:00",50,50
G-Force,119420252,"2009-01-01 00:00:00",22,39
Knowing,79948113,"2009-01-01 00:00:00",34,42
"Bangkok Dangerous",15279680,"2008-01-01 00:00:00",9,26
"National Treasure: Book of Secrets",219961501,"2007-01-01 00:00:00",36,67
Next,17993461,"2007-01-01 00:00:00",28,53
"Ghost Rider",115802596,"2007-01-01 00:00:00",26,48
"The Wicker Man",18830,"2006-01-01 00:00:00",15,17
"World Trade Center",70236496,"2006-01-01 00:00:00",66,60
"The Ant Bully",28133159,"2006-01-01 00:00:00",62,42
"The Weather Man",12469811,"2005-01-01 00:00:00",59,56
"Lord of War",24127895,"2005-01-01 00:00:00",61,84
"National Treasure",173001206,"2004-01-01 00:00:00",46,76
"Matchstick Men",36873198,"2003-01-01 00:00:00",82,74
"The Life of David Gale",19593740,"2003-01-01 00:00:00",19,81
Sonny,17639,"2002-01-01 00:00:00",22,41
Adaptation,22245861,"2002-01-01 00:00:00",90,85
Windtalkers,40911830,"2002-01-01 00:00:00",33,50
"Christmas Carol: The Movie",NULL,"2001-01-01 00:00:00",13,48
"Captain Corelli's Mandolin",25528495,"2001-01-01 00:00:00",28,50
"Bel Air",NULL,"2000-01-01 00:00:00",NULL,NULL
"Shadow of the Vampire",8279017,"2000-01-01 00:00:00",81,74
"The Family Man",75764085,"2000-01-01 00:00:00",53,67
"Gone in Sixty Seconds",101643008,"2000-01-01 00:00:00",25,77
"Bringing Out the Dead",16640210,"1999-01-01 00:00:00",72,70
8MM,36283504,"1999-01-01 00:00:00",23,52
"Snake Eyes",55557996,"1998-01-01 00:00:00",40,35
"Welcome to Hollywood",NULL,"1998-01-01 00:00:00",NULL,60
"City of Angels",78745923,"1998-01-01 00:00:00",58,82
Face/Off,112276146,"1997-01-01 00:00:00",92,82
"Con Air",101111259,"1997-01-01 00:00:00",55,75
"The Rock",134067443,"1996-01-01 00:00:00",68,85
"Leaving Las Vegas",29890321,"1995-01-01 00:00:00",89,85
"Kiss of Death",14662444,"1995-01-01 00:00:00",67,37
"It Could Happen to You",37791144,"1994-01-01 00:00:00",71,54
"Guarding Tess",26180706,"1994-01-01 00:00:00",56,47
"Trapped in Paradise",5821500,"1994-01-01 00:00:00",5,41
Deadfall,9183,"1993-01-01 00:00:00",0,26
"Amos & Andrew",9461630,"1993-01-01 00:00:00",17,31
"Red Rock West",NULL,"1993-01-01 00:00:00",97,75
"Honeymoon in Vegas",33489135,"1992-01-01 00:00:00",65,35
Zandalee,NULL,"1991-01-01 00:00:00",33,29
"Fire Birds",14760451,"1990-01-01 00:00:00",10,35
"Industrial Symphony No. 1: The Dream of the Broken Hearted",NULL,"1990-01-01 00:00:00",NULL,NULL
"Wild at Heart",14535649,"1990-01-01 00:00:00",68,81
"Time to Kill",NULL,"1990-01-01 00:00:00",NULL,20
"Vampire's Kiss",96699,"1989-01-01 00:00:00",58,53
Moonstruck,80022465,"1987-01-01 00:00:00",94,80
"Raising Arizona",21105043,"1987-01-01 00:00:00",90,85
"The Boy in Blue",235904,"1986-01-01 00:00:00",NULL,43
"Peggy Sue Got Married",37726832,"1986-01-01 00:00:00",86,55
"Racing With the Moon",NULL,"1984-01-01 00:00:00",60,62
"The Cotton Club",NULL,"1984-01-01 00:00:00",77,55
Birdy,NULL,"1984-01-01 00:00:00",83,84
"Rumble Fish",NULL,"1983-01-01 00:00:00",75,80
"Valley Girl",NULL,"1983-01-01 00:00:00",83,72
"Fast Times at Ridgemont High",NULL,"1982-01-01 00:00:00",78,80
